"gene","p"
"PCDHB7",0.0816340229189002
"FAM180A",0.0817424360946802
"SOX11",0.0834604181836027
"ATP10A",0.084063197157981
"FJX1",0.0842276834586841
"WNT5A",0.0843796342284752
"MAP1A",0.0854994622690433
"CHST1",0.0856111336317856
"LGALS2",0.0865728365874837
"TMEM233",0.0866029486224845
"BTBD19",0.0867501321372792
"TSHZ3",0.0871226042117706
"KLHDC7B",0.08724170899022
"ATP8A2",0.088957627319464
"USP51",0.089155370972763
"RBMS3",0.0892655777443608
"BDNF",0.0894145036382503
"WHAMMP2",0.0902305500894538
"ALDH1L2",0.0904425166245826
"MEOX2",0.0909158236279833
"IGLV7-43",0.0909297736290496
"COL4A2",0.0912200744121631
"AC019257.1",0.0922098094226995
"GLRB",0.0922832546406977
"CCN2",0.0925721155678612
"MIR100HG",0.0928131272626049
"PCDHB18P",0.0928354225589485
"AC013470.2",0.0929346057479289
"STON1",0.0935009632846681
"AEBP1",0.0939915057102112
"EFNB3",0.0941901315977033
"CDH2",0.0952657938321321
"MXRA8",0.095352744910475
"REG4",0.0954203215195815
"STC2",0.0963808289754404
"H19",0.0965002285481549
"CPXM2",0.0965943064892046
"CSDC2",0.0966085714167133
"EFEMP1",0.0977924514287316
"DNASE1L3",0.0979236234195495
"ZNF667",0.0979954250437653
"DSG4",0.0981660141276851
"ADAMTS4",0.0994281786831405
"RCN3",0.0994392692890356
"MPDZ",0.100584614284632
"FGF14",0.101040148272346
"MFAP5",0.101168659317092
"TRPS1",0.102282646732641
"ITGBL1",0.103242629957147
"DIO2",0.103939886263913
"PABPC5",0.104075671487331
"CAVIN4",0.104671457567326
"SLC25A5",0.10468402827669
"HDGFL3",0.104686808786104
"ISLR",0.105866501169018
"SSC5D",0.106886943150057
"COL16A1",0.107060028779402
"ADAMTS18",0.10728163552637
"UBE2QL1",0.107990979481367
"AC006262.1",0.107999371329577
"IGKV2D-24",0.108211027408094
"IGKV2D-29",0.108524259602096
"CALML3-AS1",0.109405799731275
"PCDHB8",0.111032884014471
"LINC02418",0.11128441830454
"MEG3",0.111537981089367
"CHSY3",0.111585436645669
"ASPN",0.111835280411229
"RGS4",0.112463781631575
"PEG3",0.113787184075073
"THSD7A",0.114739769448169
"CALD1",0.115023485085368
"COL5A3",0.115211840967576
"CYP46A1",0.115259795622741
"AC092535.5",0.116258128880585
"GLI3",0.118475567438499
"PRICKLE2",0.118827945970375
"FBXL7",0.119822023274814
"DUXAP8",0.120323555001928
"WT1",0.120879787599008
"UCN3",0.120915343536269
"MEIS1",0.121236088804859
"PDLIM4",0.121520453241067
"UQCRC1",0.121770832819432
"SMIM33",0.122245289924003
"ZNF667-AS1",0.122402507948509
"LINC00892",0.122909281800113
"LBP",0.123125406096358
"MAL",0.123253505238311
"AKAP12",0.124226865078319
"FRMD3",0.124549769224093
"TPTEP1",0.12547726738854
"ARL10",0.125616808547289
"LINC01807",0.125765347357145
"TECTA",0.126141963576226
"SPOCK1",0.126272572856538
"HS3ST2",0.12636060618028
"DACH1",0.126466791034629
"SP140",0.126740109204001
"CDK14",0.126959008198223
"SLC11A1",0.127538697403261
"LINC01876",0.127752422653735
"AC007099.1",0.127833871303264
"AL691447.2",0.130190982178321
"AC116345.1",0.130690985450542
"MIR99AHG",0.130715928619542
"DCHS2",0.131397899665048
"C19orf38",0.131944629850388
"C1QB",0.132232247451191
"KRT23",0.132375958261182
"LAMA4",0.132741148288718
"SPRED3",0.133085755763392
"SLC25A48",0.133705641794744
"FAM182B",0.134450212827044
"AL109615.2",0.134553541871628
"SLC6A8",0.135442130961273
"PCDH7",0.135831777161672
"EVA1A",0.136056150692336
"FCRL2",0.136076837151583
"MME",0.136296074839433
"DACT1",0.137428797927211
"MRC2",0.137910936863749
"FST",0.138764946865804
"BGN",0.138889430910444
"AL049844.2",0.139497571392393
"CHROMR",0.141503676085811
"ENOX1",0.142714008022953
"GAS2",0.142937896862765
"AC092376.2",0.143093473573687
"KLHL31",0.143767072374249
"PDGFRB",0.144175203161344
"IGKV2-24",0.1451952417988
"BMPR1B",0.145953015589247
"COX8A",0.147291714834412
"ST8SIA2",0.148766537582726
"CNTN1",0.149684392868644
"THBS4-AS1",0.150730075106268
"FRMD6",0.152891164624427
"APOBEC3H",0.153637413575641
"ADAMTS5",0.153972195290483
"NOX4",0.154693332899155
"CYP27C1",0.154886807000124
"GZMK",0.154940599044698
"LINC02251",0.155700994952212
"FLG-AS1",0.156712102756773
"FERMT2",0.157156449860168
"DDR2",0.157162934600296
"GCNT3",0.159978062440034
"CFD",0.160240044656174
"NHSL2",0.16124514323943
"CCR9",0.162054152061787
"RPSAP52",0.163051892682001
"PAH",0.163182546721706
"PRDM6",0.164528819215473
"MAGEL2",0.165131360627294
"CSRNP3",0.165518724850476
"ZNF853",0.165614429844376
