"gene","HR","p","adj_p"
"TGFB2",1.2191621032388,0.0250879308505697,0.409568027741228
"CCDC8",1.20755165590463,0.0250810564596716,0.409568027741228
"AL049838.1",1.30008957319772,0.0273851466074992,0.441748495870969
"AP001189.3",1.22829169503914,0.0280649292620421,0.447387990000789
"NOTCH3",1.18224347531184,0.0289493937983043,0.454434940502529
"PRICKLE1",1.39021542461565,0.0291777415673211,0.454434940502529
"TUB",1.29260486793365,0.0304749021890081,0.458816582956733
"CERCAM",1.16461982781639,0.0298558112051175,0.458816582956733
"DSG4",0.667557353915085,0.0304692609859718,0.458816582956733
"EPHX3",1.21424894974056,0.0316006043219779,0.465421944090001
"DAB1",0.672711622792432,0.0315688126931628,0.465421944090001
"WTIP",1.38493267945882,0.0320890361766428,0.467533806659689
"SLC2A3",1.14638176745104,0.032944989693427,0.469899589837827
"GALNT15",1.200571035016,0.0329426152353271,0.469899589837827
"ANO4",1.62012941667182,0.0342944248782607,0.474172915408605
"PLN",1.10105061956798,0.0340194667099964,0.474172915408605
"EBF2",1.38828195073272,0.0338906767649343,0.474172915408605
"PGR",1.41870666894789,0.0364786986079116,0.494286366137202
"ZFPM2",1.2980511727199,0.03629624877702,0.494286366137202
"PCDHB7",1.32120247194314,0.0380417689026752,0.502757339741259
"CXCL11",0.910130996474652,0.038216978592878,0.502757339741259
"SSC5D",1.13904630815322,0.0377943755524123,0.502757339741259
"LZTS1",1.2103100170096,0.0402739726928795,0.519747490441174
"LHFPL6",1.19303743917465,0.0402756357906445,0.519747490441174
"PCDHB12",1.28070391224613,0.0427998834886094,0.533705511231645
"CPXM2",1.12235815924948,0.0429327680621766,0.533705511231645
"GAS1",1.10869166887526,0.0418264872564944,0.533705511231645
"DACH1",0.891877477012284,0.0422146466914596,0.533705511231645
"KANK4",1.25613713668697,0.0443809282911049,0.536929980664707
"MESP2",1.25094144259749,0.0440836029812343,0.536929980664707
"PCDHGA4",1.59011293037368,0.0441250075759253,0.536929980664707
"ZFHX4",1.26686445314571,0.0462826801612622,0.554982580694782
"FJX1",1.1890335419961,0.0471993871698736,0.561010259782269
